"object","size","VESS","BSS","BSS2","BSS3","WEATH","VIS","SPP","distance"
1,4,"A","2","2","2+",1,8,"GM",108.740271674108
2,20,"A","2","2","2+",1,8,"GM",135.368099286627
3,4,"A","2","2","2+",1,8,"GM",19.3225432271227
4,20,"A","2","2","2+",2,8,"GM",301.476111027327
5,2,"A","2","2","2+",8,NA,"GM?HA",322.9724734353
6,10,"A","2","2","2+",1,8,"GM",2918.79183135930
7,1,"A","3","3+","2+",5,NA,"GM?",1748.25204633645
8,1,"A","1","0to1","0to1",1,8,"GM?",2778
9,1,"A","2","2","2+",1,8,"GM?",2101.9760137941
10,10,"A","3","3+","2+",5,2,"GM",141.718221977011
11,20,"A","3","3+","2+",5,2,"GM",123.789162176389
12,3,"A","1","0to1","0to1",1,NA,"GM",354.678577164087
13,50,"B","2","2","2+",6,1,"GM",374.574868395601
14,20,"B","4","3+","2+",2,NA,"GM",96.3747386051463
15,150,"B","2","2","2+",3,3,"GM",958.665743059737
16,100,"B","2","2","2+",3,4,"GM",855.15378922734
17,4,"A","3,5","3+","2+",4,NA,"GM",46
18,10,"A","0","0to1","0to1",1,8,"GM",1748.25204633645
19,1,"A","0","0to1","0to1",4,NA,"GM",112.851011993167
20,8,"A","0","0to1","0to1",1,8,"GM",405.931681926686
21,5,"A","1","0to1","0to1",1,8,"GM",1114.56142287759
22,7,"F","2","2","2+",4,4,"GM",2568.43442543908
23,15,"F","3","3+","2+",4,5,"GM",357.674869467368
24,2,"F","3","3+","2+",4,5,"GM",578.017973640753
25,5,"F","3","3+","2+",4,5,"GM",0
26,20,"F","2","2","2+",4,6,"GM",479.332871529868
27,25,"F","3","3+","2+",2,5,"GM",531.131780061069
28,30,"F","3","3+","2+",2,5,"GM",595.527690984793
29,3,"F","4","3+","2+",3,4.5,"GM",566.872887908044
30,40,"F","0","0to1","0to1",2,NA,"GM",735.046088091159
31,35,"F","0","0to1","0to1",2,NA,"GM",317.405937679194
32,15,"F","0","0to1","0to1",2,7,"GM",1362.59476734648
33,15,"F","0","0to1","0to1",3,6,"GM",888.517610652398
34,5,"F","0","0to1","0to1",2,7,"GM",2381.21076135047
35,15,"F","0","0to1","0to1",3,6,"GM",782.767206773508
36,5,"F","0","0to1","0to1",2,7,"GM",1628.95707923697
37,10,"F","0","0to1","0to1",2,7,"GM",897.867416696217
38,30,"F","1","0to1","0to1",3,7,"GM",247.288458008002
39,35,"F","1","0to1","0to1",3,7,"GM",176.749838219284
40,10,"F","1","0to1","0to1",2,7,"GM",482.86789891311
41,5,"F","1","0to1","0to1",3,NA,"GM",1420
42,5,"F","1","0to1","0to1",2,7,"GM",2778
44,15,"F","2","2","2+",2,6,"GM",1287.60957139338
45,3,"F","2","2","2+",4,5,"GM",1126.61384724793
47,20,"F","2","2","2+",3,NA,"GM",1020.62450291315
50,15,"F","2","2","2+",3,NA,"GM?",690.575038773795
51,10,"F","2","2","2+",3,5,"GM",862.834650055363
53,25,"F","2","2","2+",2,7,"GM",1091.06576337084
54,10,"F","2","2","2+",3,5,"GM",2315
55,20,"F","1","0to1","0to1",3,0.48,"GM",544.754939383762
56,2,"F","2","2","2+",4,6,"GM",1071.85786561823
57,2,"F","3","3+","2+",4,4,"GM",708
58,1,"F","3","3+","2+",4,4,"GM",90.1823787846324
59,6,"F","3","3+","2+",4,4,"GM",371.677530755478
60,1,"F","3","3+","2+",4,4,"GM",89.511101371877
61,2,"F","3","3+","2+",4,4,"GM",154.774066124538
62,25,"F","4","3+","2+",4,4,"GM",71.7518237964579
63,7,"F","4","3+","2+",4,4,"GM",46.3046016519083
64,10,"F","4","3+","2+",4,4,"GM",273.856633607973
65,6,"F","2","2","2+",1,7,"GM?D?",743.404103664692
66,2,"F","2","2","2+",1,7,"GM?",1570.70161116321
67,10,"F","2","2","2+",2,7,"GM",2743.79821017329
68,1,"F","2","2","2+",2,7,"GM",1389
69,8,"F","2","2","2+",1,7,"GM",313.204212551229
70,15,"F","2","2","2+",1,7,"GM",48.463095480966
71,13,"F","2","2","2+",1,7,"GM",640.858798800485
72,1,"F","2","2","2+",2,7,"GM",1731.07733317220
73,2,"F","2","2","2+",2,7,"GM",296
74,8,"F","2","2","2+",1,7,"GM",32.5612304234334
75,8,"F","2","2","2+",1,7,"GM",255.613915875737
76,8,"F","2","2","2+",1,7,"GM",289.961909049242
77,1,"F","2","2","2+",1,7,"GM?",1253.78558185968
78,20,"F","2","2","2+",1,7,"GM",485.490145067022
79,3,"F","2","2","2+",1,7,"GM?D?",475.404339257262
80,1,"F","2","2","2+",2,7,"GM",817
81,3,"F","2","2","2+",3,0.48,"GM?HA",2619.12351751497
82,1,"F","3","3+","2+",7,4,"GM",2128.07146298452
83,6,"F","3","3+","2+",7,4,"GM",261.629509039023
84,10,"F","3","3+","2+",7,4,"GM",1731.07733317220
85,3,"F","3","3+","2+",7,4,"GM",1265.16726657652
86,5,"F","3","3+","2+",7,4,"GM",43.9264943448198
87,3,"G","1","0to1","0to1",4,NA,"GM",1363.26768796306
88,10,"G","3","3+","2+",4,9,"GM",34.0999180031249
89,1,"G","3","3+","2+",4,NA,"GM",84.5236523481399
