"object","distance","detected"
1,273.616114660535,1
2,951.467154022539,1
3,1711.90172933128,1
4,426.531056564485,1
5,375.763725828827,1
6,151.920710033244,1
7,241.304816093457,1
8,181.441421699751,1
9,172.477231745678,1
10,573.38871927248,1
11,442.234578537732,1
12,382.916505919488,1
13,143.076911751935,1
14,217.068832202885,1
15,746.25205689564,1
16,1545.15828750312,1
17,776.047104252203,1
18,703.111252588585,1
19,531.220366232814,1
20,283.6490072,1
21,119.718080904068,1
22,109.133867811592,1
23,3252.11188461528,1
24,282.549968623797,1
25,1207.86089586259,1
26,547.468345467936,1
27,638.908408037834,1
28,718.451044959189,1
29,539.429189783111,1
30,513.742085582217,1
31,3448.275862,1
32,2281.72747623551,1
33,2992.69215077947,1
34,476.991546660547,1
35,194.959751415918,1
36,1536.34383682041,1
37,435.249242463383,1
38,738.79377039079,1
39,936.5359189,1
40,222.245177360557,1
41,32.1577343960418,1
42,1477.832512,1
43,123.380166755831,1
44,267.132593527163,1
45,1956.65699961587,1
46,529.677138320121,1
47,973.977142881372,1
48,973.977142881372,1
49,1446.80446701530,1
50,1446.80446701530,1
51,141.622993096147,1
52,1298.93707744203,1
53,1239.89184438453,1
54,1275.871846,1
55,2234.22385457079,1
56,337.578190602393,1
57,2.39533439938124,1
58,1532.08888623796,1
59,407.543173320297,1
60,555.726696367198,1
61,153.277243965214,1
62,1162.39667533566,1
63,100.6036217,1
64,132.248625967640,1
65,162.693520240004,1
66,462.376641336799,1
67,252.023724052112,1
68,0,1
69,539.345283871306,1
70,1857.86206369349,1
71,258.819045102521,1
72,311.867536226639,1
73,2690.54623186143,1
74,287.548109712225,1
75,260.500457076191,1
76,1382.81782225774,1
