"distance","size","object","observer","detected"
47.1791557569011,3,69,"RW",1
51.0715614285982,1,71,"SH",1
326.966491806172,3,75,"SH",1
1431.28923046988,1,82,"SH",1
89.1267785023348,3,83,"SH",1
186.71608529944,2,87,"CM",1
242.730910889272,1,88,"SH",1
6.89992830998984,2,114,"oa",1
80.3508790876817,1,163,"OA",1
122.073358132718,3,310,"NE",1
316,2,315,"NE",1
14.0419290212567,2,319,"RW",1
63.7977803982729,2,320,"rw",1
15.1519728424109,1,321,"RW",1
60.7939009619228,1,324,"OA",1
40.1556125270879,1,325,"RW",1
361.67838567457,1,364,"NE",1
78.1522487693316,2,365,"HS",1
264.68385852923,1,366,"oa",1
666.162780884243,2,367,"rw",1
67.5430072158068,1,376,"HS",1
150.8447305,2,380,"HS",1
274.241253833409,3,383,"HS",1
100.375876361433,1,450,"e",1
501.078022623147,3,483,"NE",1
438.919470009295,1,484,"NE",1
715.140391464316,1,487,"HS",1
23.5259441734345,1,495,"rw",1
31.0496774001879,1,509,"oa",1
24.5602110113162,1,614,"rw",1
217.485260918565,2,673,"OA",1
21.4588141621058,2,296,"oa",1
635.610184326551,2,333,"rw",1
174.421307583426,1,334,"RW",1
12.1094654144487,2,354,"sh",1
99.4423151607052,2,358,"hs",1
13.4084250597902,2,458,"RW",1
39.4763119162679,1,459,"RW",1
408.36748877718,1,514,"oa",1
2.4926530840861,2,524,"oa",1
8.6249103901041,1,525,"oa",1
438.135805909885,4,527,"hs",1
63.1763683471745,2,530,"sh",1
71.2582095013143,2,636,"hs",1
937.75212460048,2,637,"hs",1
100.151910427517,1,640,"oa",1
522.787281627483,2,747,"oa",1
9.39538470088406,2,748,"oa",1
114.389502664055,2,791,"mf",1
17.4524064372835,4,792,"oa",1
297.225679992282,2,793,"mf",1
225.746307536687,3,794,"oa",1
541.9847803781,2,795,"oa",1
579.205130157653,1,796,"mf",1
489.304353138208,2,797,"oa",1
29.7906120312812,2,798,"oa",1
115.421416886589,3,799,"oa",1
198.771944300998,1,800,"mf",1
391.349021682897,2,801,"oa",1
35.5758016095036,3,802,"oa",1
101.713941404171,2,1035,"mm",1
50.4549901461627,2,1038,"oa",1
5.41024599555789,2,760,"mm",1
135.223397293513,2,761,"oa",1
93.1565935800838,1,777,"rw",1
9.5754496515296,1,813,"oa",1
51.5487774273614,2,833,"oa",1
324.424525349431,1,1002,"oa",1
